NatEmis	Datayear	Province	ProvinceCD	Official_Institution_Name	Status	Sector	Type_DoE	Phase_PED	Specialisation	Full Service School	EIDistrict	EICircuit	Owner_Land	Owner_Buildings	ExDept	Persal_PaypointNo	Persal_ComponentNo	ExamNo	ExamCentre	GIS_Longitude	GIS_Latitude	DMunName	LMunName	Ward_ID	SP_Code	SP_Name	Addressee	Township_Village	Suburb	Town_City	StreetAddress	PostalAddress	Telephone	Section21	Section21_Function	Quintile	NAS	NodalArea	Registration_Date	NoFeeSchool	Urban_Rural	Allocation	DemarcationFrom	DemarcationTo	OldNATEMIS	NewNATEMIS	Learners2024	Educators2024
700251926	2024	GT	7	SWARTKOP VALLEY PRIMARY FARM SCHOOL	OPEN	PUBLIC	ORDINARY SCHOOL	COMBINED SCHOOL	ORDINARY	GAUTENG WEST	5	PUBLIC	PUBLIC	DEPARTMENT OF EDUCACTION & TRAINING(DET)	902130	902130		NOT APPLICABLE	27.84656316	-25.98921864	WEST RAND DISTRICT MUNICIPALITY	MOGALE CITY LOCAL MUNICIPALITY	74801033	763002001	ZWARTKOP AH	THEMBA MIKATEKO SHIPHAMELE	SWARTKOP	MULDERSDRIFT	KRUGERSDORP	19, KROMDRAAI ROAD, SWARTKOP, MULDERSDRIFT, KRUGERSDORP	233 MULDERSDRIFT 1747	0843856968	YES	ACD	2	N	NOT APPLICABLE		YES	1,672.00	GT	NOT MOVED	700251926	99	490	16
700400457	2024	GT	7	ISRAEL CHRISTIAN SCHOOL	OPEN	INDEPENDENT	ORDINARY SCHOOL	SECONDARY SCHOOL	ORDINARY	JOHANNESBURG CENTRAL	1	INDEPENDENT	INDEPENDENT	NEW EDUCATION DEPARTMENT	99	99		NOT APPLICABLE	28.039102	-26.245555	CITY OF JOHANNESBURG METROPOLITAN MUNICIPALITY	CITY OF JOHANNESBURG METROPOLITAN MUNICIPALITY	79800124	798015174	TURFFONTEIN	PETTY MPOFU	TURFFONTEIN	TURFFONTEIN	JOHANNESBURG	78, TRAMWAY STREET, TURFFONTEIN, TURFFONTEIN, JOHANNESBURG		0735889733	NO	NONE		N	NOT APPLICABLE	1/1/2012	NO		GT	NOT MOVED	700400457	99	112	10
700400107	2024	GT	7	KENILWORTH SECONDARY SCHOOL	OPEN	PUBLIC	ORDINARY SCHOOL	SECONDARY SCHOOL	ORDINARY	JOHANNESBURG CENTRAL	1	PUBLIC	PUBLIC	NEW EDUCATION DEPARTMENT	914168	911359	8400107	KENILWORTH SECONDARY SCHOOL	28.048058	-26.250674	CITY OF JOHANNESBURG METROPOLITAN MUNICIPALITY	CITY OF JOHANNESBURG METROPOLITAN MUNICIPALITY	79800124	798015175	KENILWORTH	NJABULO PRAISEGOD NKOMO	KENILWORTH	KENILWORTH	JOHANNESBURG	172, KENNEDY STR, KENILWORTH, KENILWORTH, JOHANNESBURG	1761 ROSETTENVILLE 2130	0116831416	YES	ACD	5	N	NOT APPLICABLE	4/29/2004	NO	838.00	GT	NOT MOVED	700400107	99	929	23
700400408	2024	GT	7	ABBOTTS COLLEGE-JOHANNESBURG SOUTH	OPEN	INDEPENDENT	ORDINARY SCHOOL	SECONDARY SCHOOL	ORDINARY	JOHANNESBURG CENTRAL	1	INDEPENDENT	INDEPENDENT	NEW EDUCATION DEPARTMENT	99	99	8400408	ABBOTTS COLLEGE-JOHANNESBURG SOUTH	28.02863	-26.27321	CITY OF JOHANNESBURG METROPOLITAN MUNICIPALITY	CITY OF JOHANNESBURG METROPOLITAN MUNICIPALITY	79800054	798015193	SUIDEROORD	MARION KOHLER		SUIDEROORD	JOHANNESBURG	27, FERDINAND STREET, , SUIDEROORD, JOHANNESBURG	PO BOX 1951 MONDEOR 2110	0116804757	NO	NONE		N	NOT APPLICABLE	1/1/2011	NO		GT	NOT MOVED	700400408	99		
700400244	2024	GT	7	PROTEA GLEN SECONDARY SCHOOL	OPEN	PUBLIC	ORDINARY SCHOOL	SECONDARY SCHOOL	ORDINARY	JOHANNESBURG CENTRAL	4	PUBLIC	PUBLIC	NEW EDUCATION DEPARTMENT	914231	99	8400244	PROTEA GLEN SECONDARY SCHOOL	27.80054	-26.281318	CITY OF JOHANNESBURG METROPOLITAN MUNICIPALITY	CITY OF JOHANNESBURG METROPOLITAN MUNICIPALITY	79800135	798026078	PROTEA GLEN	THULANI LINTON MAJOLA	PROTEA GLEN	SOWETO	JOHANNESBURG	14502, WILDECHESTNUT, PROTEA GLEN, SOWETO, JOHANNESBURG	51327 PROTEA GLEN 1819	0112977008	YES	AD	5	N	NOT APPLICABLE	4/23/2008	YES	1,672.00	GT	NOT MOVED	700400244	99	1700	51
700400312	2024	GT	7	INTERNATIONAL MAARIF SCHOOL MONDEOR	OPEN	INDEPENDENT	ORDINARY SCHOOL	COMBINED SCHOOL	ORDINARY	JOHANNESBURG CENTRAL	1	INDEPENDENT	INDEPENDENT	NEW EDUCATION DEPARTMENT	99	99		NOT APPLICABLE	28.00794101	-26.28152082	CITY OF JOHANNESBURG METROPOLITAN MUNICIPALITY	CITY OF JOHANNESBURG METROPOLITAN MUNICIPALITY	79800054	798015198	MONDEOR	SAMANDA DELPORT		MONDEOR	JOHANNESBURG	35, ORMONDE DRIVE, , MONDEOR, JOHANNESBURG	P.O.BOX 90416 BERTSHAM 2135	0116816077	NO	NONE		N	NOT APPLICABLE	7/10/2009	NO		GT	NOT MOVED	700400312	99	161	14
700400773	2024	GT	7	DUZEK CHRISTIAN SCHOOL	OPEN	INDEPENDENT	ORDINARY SCHOOL	COMBINED SCHOOL	ORDINARY	JOHANNESBURG CENTRAL	1	INDEPENDENT	INDEPENDENT	NEW EDUCATION DEPARTMENT	99	99		NOT APPLICABLE	28.031369	-26.255918	CITY OF JOHANNESBURG METROPOLITAN MUNICIPALITY	CITY OF JOHANNESBURG METROPOLITAN MUNICIPALITY	79800055	798015188	HADDON	KELVIN CHIDI UJEH	HADDON	JOHANNESBURG	JOHANNESBURG	1, REEDERS STREET, HADDON, JOHANNESBURG, JOHANNESBURG	P.O BOX 18378 HILLBROW 2038	0615098292	NO	NONE		N	NOT APPLICABLE	2/17/2014	NO		GT	NOT MOVED	700400773	99	174	8
700400477	2024	GT	7	MADRESSAH AYESHA	OPEN	INDEPENDENT	ORDINARY SCHOOL	SECONDARY SCHOOL	ORDINARY	JOHANNESBURG CENTRAL	2	INDEPENDENT	INDEPENDENT	NEW EDUCATION DEPARTMENT	99	99		NOT APPLICABLE	27.859306	-26.322877	CITY OF JOHANNESBURG METROPOLITAN MUNICIPALITY	CITY OF JOHANNESBURG METROPOLITAN MUNICIPALITY	79800009	798028005	LENASIA EXT 8	FAEEZA VALLY	LENASIA	JOHANNESBURG	JOHANNESBURG	, CORNER GARRIKK AND PROTEA AVENUE, LENASIA, JOHANNESBURG, JOHANNESBURG	P.O. BOX 929 LENASIA 1820	0118521043	NO	NONE		N	NOT APPLICABLE	1/1/2012	NO		GT	NOT MOVED	700400477	99	22	6
700400750	2024	GT	7	RHODES TECHNICAL COLLEGE	OPEN	INDEPENDENT	ORDINARY SCHOOL	COMBINED SCHOOL	ORDINARY	JOHANNESBURG CENTRAL	2	INDEPENDENT	INDEPENDENT	NEW EDUCATION DEPARTMENT	99	99		NOT APPLICABLE	27.825681	-26.320418	CITY OF JOHANNESBURG METROPOLITAN MUNICIPALITY	CITY OF JOHANNESBURG METROPOLITAN MUNICIPALITY	79800009	798028009	LENASIA EXT 2	DUMISANI MOYO	LENASIA EXT 2	LENASIA	JOHANNESBURG	, ROSE AVENUE AND ELAND STREET, LENASIA EXT 2, LENASIA, JOHANNESBURG	P.O. BOX 508 LENASIA 1827	0118526134	NO	NONE		N	NOT APPLICABLE	1/13/2014	NO		GT	NOT MOVED	700400750	99	56	10
700401340	2024	GT	7	WATERSHED TECHNICAL SCHOOL-HADDON	OPEN	INDEPENDENT	ORDINARY SCHOOL	COMBINED SCHOOL	ORDINARY	JOHANNESBURG CENTRAL	1	INDEPENDENT	INDEPENDENT	NEW EDUCATION DEPARTMENT	99	99		NOT APPLICABLE	28.033906	-26.257109	CITY OF JOHANNESBURG METROPOLITAN MUNICIPALITY	CITY OF JOHANNESBURG METROPOLITAN MUNICIPALITY	79800055	798015188	HADDON		HADDON	TURFFONTEIN	JOHANNESBURG	20, GANTNER ROAD, HADDON, TURFFONTEIN, JOHANNESBURG		99	NO	NONE		N	NOT APPLICABLE	1/1/2025	NO		GT	NOT MOVED	700401340	99		
700400820	2024	GT	7	BASA PROTEA GLEN COMBINED SCHOOL	OPEN	INDEPENDENT	ORDINARY SCHOOL	COMBINED SCHOOL	ORDINARY	JOHANNESBURG CENTRAL	3	INDEPENDENT	INDEPENDENT	NEW EDUCATION DEPARTMENT	99	99	8400820	BASA PROTEA GLEN COMBINED SCHOOL	27.817991	-26.287558	CITY OF JOHANNESBURG METROPOLITAN MUNICIPALITY	CITY OF JOHANNESBURG METROPOLITAN MUNICIPALITY	79800013	798026078	PROTEA GLEN	DIKONI NTINI	PROTEA GLEN EXTENSION 15	PROTEA GLEN	SOWETO	56, INCUNCU STREET, PROTEA GLEN EXTENSION 15, PROTEA GLEN, SOWETO	P.O BOX 31912 BRAAMFONTEIN 2017	0112977000	NO	NONE		N	NOT APPLICABLE	1/29/2015	NO		GT	NOT MOVED	700400820	99	1501	77
700400804	2024	GT	7	RIDGEWAY MUSLIM SCHOOL	OPEN	INDEPENDENT	ORDINARY SCHOOL	COMBINED SCHOOL	ORDINARY	JOHANNESBURG CENTRAL	1	INDEPENDENT	INDEPENDENT	NEW EDUCATION DEPARTMENT	99	99		NOT APPLICABLE	27.995484	-26.266358	CITY OF JOHANNESBURG METROPOLITAN MUNICIPALITY	CITY OF JOHANNESBURG METROPOLITAN MUNICIPALITY	79800054	798015167	RIDGEWAY	RAZIA MAHOMED	RIDGEWAY	JOHANNESBURG	JOHANNESBURG	130, RIVERSIDE DRIVE, RIDGEWAY, JOHANNESBURG, JOHANNESBURG	P.O BOX 90080 BERTSHAM 2013	0114330961	NO	NONE		N	NOT APPLICABLE	1/1/2015	NO		GT	NOT MOVED	700400804	99	270	24
700400792	2024	GT	7	NOVA PIONEER ORMONDE	OPEN	INDEPENDENT	ORDINARY SCHOOL	COMBINED SCHOOL	ORDINARY	JOHANNESBURG CENTRAL	1	INDEPENDENT	INDEPENDENT	NEW EDUCATION DEPARTMENT	99	99		NOT APPLICABLE	27.997345	-26.24163	CITY OF JOHANNESBURG METROPOLITAN MUNICIPALITY	CITY OF JOHANNESBURG METROPOLITAN MUNICIPALITY	79800054	798015163	ORMONDE	HAPPY SESHOKA	ORMONDE	ORMONDE	JOHANNESBURG	49, DORANDO ROAD, ORMONDE, ORMONDE, JOHANNESBURG	P.O BOX 69607 BRYANSTON 2021	0114961201	NO	NONE		N	NOT APPLICABLE	1/1/2015	NO		GT	NOT MOVED	700400792	99	534	34
700400531	2024	GT	7	FREEDOM PARK SECONDARY SCHOOL NO 1	OPEN	PUBLIC	ORDINARY SCHOOL	SECONDARY SCHOOL	ORDINARY	JOHANNESBURG CENTRAL	1	PUBLIC	PUBLIC	NEW EDUCATION DEPARTMENT	914235	99	8400531	FREEDOM PARK SECONDARY SCHOOL NO 1	27.933765	-26.298687	CITY OF JOHANNESBURG METROPOLITAN MUNICIPALITY	CITY OF JOHANNESBURG METROPOLITAN MUNICIPALITY	79800119	798015208	DEVLAND	GABISILE JUNGROSE KUMALO	DEVLAND EXT 30	DEVLAND	JOHANNESBURG	2572, TELESCOPE STREET, DEVLAND EXT 30, DEVLAND, JOHANNESBURG		0826007354	YES	AD	1	N	NOT APPLICABLE	1/1/2013	YES	1,672.00	GT	NOT MOVED	700400531	99	1384	47
700400969	2024	GT	7	ACUDEO COLLEGE PROTEA GLEN	OPEN	INDEPENDENT	ORDINARY SCHOOL	COMBINED SCHOOL	ORDINARY	JOHANNESBURG CENTRAL	4	INDEPENDENT	INDEPENDENT	NEW EDUCATION DEPARTMENT	99	99		NOT APPLICABLE	27.770161	-26.272078	CITY OF JOHANNESBURG METROPOLITAN MUNICIPALITY	CITY OF JOHANNESBURG METROPOLITAN MUNICIPALITY	79800135	798026077	STESA AH	MANUELA FATIMA FERNANDES JARDIM	PROTEA GLEN EXT.29	SOWETO	JOHANNESBURG	21619, CNR TOMATO AND KEY STREET, PROTEA GLEN EXT.29, SOWETO, JOHANNESBURG	PRIVATE BAG X15 MENLO PARK 0102	0106004040	NO	NONE		N	NOT APPLICABLE	1/1/2019	NO		GT	NOT MOVED	700400969	99	650	37
700401220	2024	GT	7	NATURENA SECONDARY SCHOOL	OPEN	PUBLIC	ORDINARY SCHOOL	SECONDARY SCHOOL	ORDINARY	JOHANNESBURG CENTRAL	1	PUBLIC	PUBLIC	NEW EDUCATION DEPARTMENT	99	99		NOT APPLICABLE	27.94843588	-26.28974991	CITY OF JOHANNESBURG METROPOLITAN MUNICIPALITY	CITY OF JOHANNESBURG METROPOLITAN MUNICIPALITY	79800119	798015207	Naturena	NTSAKO NOEL DLIWAYO	NATURENA	JOHANNESBURG	JOHANNESBURG	10, NATUUR STREET, NATURENA, JOHANNESBURG, JOHANNESBURG		0826007898	NO	NONE	5	N	NOT APPLICABLE	1/1/2023	YES	1,672.00	GT	NOT MOVED	700401220	99	489	16
700400913	2024	GT	7	PROTEA SECONDARY SCHOOL NO.2	OPEN	PUBLIC	ORDINARY SCHOOL	SECONDARY SCHOOL	ORDINARY	JOHANNESBURG CENTRAL	4	PUBLIC	PUBLIC	NEW EDUCATION DEPARTMENT	99	99		NOT APPLICABLE	27.787922	-26.269957	CITY OF JOHANNESBURG METROPOLITAN MUNICIPALITY	CITY OF JOHANNESBURG METROPOLITAN MUNICIPALITY	79800135	798026078	PROTEA GLEN	SIDWELL BUTHELEZI	PROTEA GLEN	PROTEA GLEN	SOWETO	15704, CNR SUNRISE AND SUNSET AVENUE, PROTEA GLEN, PROTEA GLEN, SOWETO		0118512042	YES	AD	5	N	NOT APPLICABLE	2/14/2019	YES	1,672.00	GT	NOT MOVED	700400913	99	1779	53
700400620	2024	GT	7	ALLIED SCHOOL	OPEN	INDEPENDENT	ORDINARY SCHOOL	COMBINED SCHOOL	ORDINARY	JOHANNESBURG CENTRAL	1	INDEPENDENT	INDEPENDENT	NEW EDUCATION DEPARTMENT	99	99	8400620	ALLIED SCHOOL	28.01856046	-26.2392178	CITY OF JOHANNESBURG METROPOLITAN MUNICIPALITY	CITY OF JOHANNESBURG METROPOLITAN MUNICIPALITY	79800055	798015170	ROBERTSHAM	AYESHA HOORZOOK	ROBERTSHAM	JOHANNESBURG	JOHANNESBURG	9, ALAMEIN ROAD, ROBERTSHAM, JOHANNESBURG, JOHANNESBURG		0114338272	NO	NONE		N	NOT APPLICABLE	2/6/2013	NO		GT	NOT MOVED	700400620	99	170	14
700401197	2024	GT	7	NOVA PIONEER ORMONDE SECONDARY	OPEN	INDEPENDENT	ORDINARY SCHOOL	SECONDARY SCHOOL	ORDINARY	JOHANNESBURG CENTRAL	1	INDEPENDENT	INDEPENDENT	NEW EDUCATION DEPARTMENT	99	99		NOT APPLICABLE	27.9953	-26.2438	CITY OF JOHANNESBURG METROPOLITAN MUNICIPALITY	CITY OF JOHANNESBURG METROPOLITAN MUNICIPALITY	79800054	798015163	Ormonde	THEUNS OPPERMAN	ORMONDE	JOHANNESBURG	JOHANNESBURG	1650 & 1651, FONTENAY ROAD, ORMONDE, JOHANNESBURG, JOHANNESBURG	P.O BOX 67609 BRYANSTON 2191	0114691201	NO	NONE		N	NOT APPLICABLE	1/1/2023	NO		GT	NOT MOVED	700401197	99	314	33
700400891	2024	GT	7	REDWOOD ACADEMY	OPEN	INDEPENDENT	ORDINARY SCHOOL	COMBINED SCHOOL	ORDINARY	JOHANNESBURG CENTRAL	2	INDEPENDENT	INDEPENDENT	NEW EDUCATION DEPARTMENT	99	99		NOT APPLICABLE	27.84953	-26.32422	CITY OF JOHANNESBURG METROPOLITAN MUNICIPALITY	CITY OF JOHANNESBURG METROPOLITAN MUNICIPALITY	79800009	798028004	LENASIA EXT 7	MR MUHAMMED FUAD MOTALA	LENASIA EXT 7	LENASIA	JOHANNESBURG	20, TOPAAS STREET, LENASIA EXT 7, LENASIA, JOHANNESBURG	P.O BOX 640 LENASIA 1820	0118524744	NO	NONE		N	NOT APPLICABLE	1/1/2017	NO		GT	NOT MOVED	700400891	99	477	48
700401055	2024	GT	7	AA ACADEMY	OPEN	INDEPENDENT	ORDINARY SCHOOL	COMBINED SCHOOL	ORDINARY	JOHANNESBURG CENTRAL	2	INDEPENDENT	INDEPENDENT	NEW EDUCATION DEPARTMENT	99	99		NOT APPLICABLE	27.863599	-26.322609	CITY OF JOHANNESBURG METROPOLITAN MUNICIPALITY	CITY OF JOHANNESBURG METROPOLITAN MUNICIPALITY	79800009	798028005	LENASIA EXT 8	FATIMA JARDINE	LENASIA EXT. 8	LENASIA	JOHANNESBURG	7360, NIRVANA DRIVE, LENASIA EXT. 8, LENASIA, JOHANNESBURG		0836072894	NO	NONE		N	NOT APPLICABLE	1/22/2020	NO		GT	NOT MOVED	700401055	99	69	7
700400696	2024	GT	7	NEW GEN ACADEMY	OPEN	INDEPENDENT	ORDINARY SCHOOL	COMBINED SCHOOL	ORDINARY	JOHANNESBURG CENTRAL	2	INDEPENDENT	INDEPENDENT	NEW EDUCATION DEPARTMENT	99	99	8400696	NEW GEN ACADEMY	27.903392	-26.289737	CITY OF JOHANNESBURG METROPOLITAN MUNICIPALITY	CITY OF JOHANNESBURG METROPOLITAN MUNICIPALITY	79800018	798015211	ELDORADO PARK	MARLON LOUW	ELDORADO PARK EXT 5	ELDORADO PARK	JOHANNESBURG	19, SIRKEL STREET, ELDORADO PARK EXT 5, ELDORADO PARK, JOHANNESBURG	P.O. BOX 1170 ELDORADO PARK 1813	0782842636	NO	NONE		N	NOT APPLICABLE	1/1/2014	NO		GT	NOT MOVED	700400696	99	485	20
700400709	2024	GT	7	ALHUDA ACADEMY	OPEN	INDEPENDENT	ORDINARY SCHOOL	COMBINED SCHOOL	ORDINARY	JOHANNESBURG CENTRAL	1	INDEPENDENT	INDEPENDENT	NEW EDUCATION DEPARTMENT	99	99		NOT APPLICABLE	28.015128	-26.242374	CITY OF JOHANNESBURG METROPOLITAN MUNICIPALITY	CITY OF JOHANNESBURG METROPOLITAN MUNICIPALITY	79800055	798015170	ROBERTSHAM	SHIRIN OSMAN	ROBERTSHAM	ROBERTSHAM	JOHANNESBURG	29, IRMA ROAD, ROBERTSHAM, ROBERTSHAM, JOHANNESBURG	1358 SOUTHDALE 2135	0114339407	NO	NONE		N	NOT APPLICABLE	1/27/2014	NO		GT	NOT MOVED	700400709	99	271	20
700401060	2024	GT	7	CURRO PROTEA GLEN	OPEN	INDEPENDENT	ORDINARY SCHOOL	COMBINED SCHOOL	ORDINARY	JOHANNESBURG CENTRAL	4	INDEPENDENT	INDEPENDENT	NEW EDUCATION DEPARTMENT	99	99		NOT APPLICABLE	27.815155	-26.268816	CITY OF JOHANNESBURG METROPOLITAN MUNICIPALITY	CITY OF JOHANNESBURG METROPOLITAN MUNICIPALITY	79800013	798026078	PROTEA GLEN	OFENTSE MODISAOTSILE KONOPI	PROTEA GLEN	SOWETO	JOHANNESBURG	, CNR WILD CHESTNUT AND SAGEWOOD STREETS, PROTEA GLEN, SOWETO, JOHANNESBURG		0870877569	NO	NONE		N	NOT APPLICABLE	1/22/2020	NO		GT	NOT MOVED	700401060	99	1527	61
700401268	2024	GT	7	MATHESIS COLLEGE	OPEN	INDEPENDENT	ORDINARY SCHOOL	COMBINED SCHOOL	ORDINARY	JOHANNESBURG CENTRAL	1	INDEPENDENT	INDEPENDENT	NEW EDUCATION DEPARTMENT	99	99		NOT APPLICABLE	28.01144	-26.250807	CITY OF JOHANNESBURG METROPOLITAN MUNICIPALITY	CITY OF JOHANNESBURG METROPOLITAN MUNICIPALITY	79800055	798015170	ROBERTSHAM	SHEILA VICTORIA GONCALVES DOMINGUES	ROBERTSHAM	JOHANNESBURG	JOHANNESBURG	3 AND 5, LYNTON AVENUE, ROBERTSHAM, JOHANNESBURG, JOHANNESBURG		0615226752	NO	NONE		N	NOT APPLICABLE	1/1/2024	NO		GT	NOT MOVED	700401268	99	45	5
700401222	2024	GT	7	LAKEWOOD INTERNATIONAL ACADEMY	OPEN	INDEPENDENT	ORDINARY SCHOOL	COMBINED SCHOOL	ORDINARY	JOHANNESBURG CENTRAL	1	INDEPENDENT	INDEPENDENT	NEW EDUCATION DEPARTMENT	99	99		NOT APPLICABLE	28.003872	-26.236012	CITY OF JOHANNESBURG METROPOLITAN MUNICIPALITY	CITY OF JOHANNESBURG METROPOLITAN MUNICIPALITY	79800054	798015162	THETA	LAAIQAH HOOSAN	THETHA EXT 5	ORMONDE	JOHANNESBURG	64, MODULUS ROAD, THETHA EXT 5, ORMONDE, JOHANNESBURG		0100236117	NO	NONE		N	NOT APPLICABLE	1/20/2023	NO		GT	NOT MOVED	700401222	99	141	20
700122268	2024	GT	7	ALPHA AND OMEGA CHRISTIAN ACADEMY	OPEN	INDEPENDENT	ORDINARY SCHOOL	COMBINED SCHOOL	ORDINARY	JOHANNESBURG CENTRAL	1	INDEPENDENT	INDEPENDENT	NEW EDUCATION DEPARTMENT	99	99		NOT APPLICABLE	27.98509	-26.275138	CITY OF JOHANNESBURG METROPOLITAN MUNICIPALITY	CITY OF JOHANNESBURG METROPOLITAN MUNICIPALITY	79800125	798015202	MEREDALE	WESLEY EBRAHIM	MEREDALE EXTENSION 2	MEREDALE	JOHANNESBURG	4, SWALLOW STREET, MEREDALE EXTENSION 2, MEREDALE, JOHANNESBURG	POSTNET SUITE 14 PRIVATE BAG X1 GLENVISTA 2098	0104471235	NO	NONE		N	NOT APPLICABLE		NO		GT	NOT MOVED	700122268	99	61	11
700110890	2024	GT	7	LENZ PUBLIC SCHOOL	OPEN	PUBLIC	ORDINARY SCHOOL	SECONDARY SCHOOL	ORDINARY	JOHANNESBURG CENTRAL	2	PUBLIC	PUBLIC	DEPARTMENT OF EDUCACTION & TRAINING(DET)	914180	914180	8110890	LENZ PUBLIC SCHOOL	27.842131	-26.336288	CITY OF JOHANNESBURG METROPOLITAN MUNICIPALITY	CITY OF JOHANNESBURG METROPOLITAN MUNICIPALITY	79800009	798028007	LENASIA EXT 11	JUDITH MUSHI	LENASIA	LENASIA	JOHANNESBURG	763, BANGALORE DRIVE, LENASIA, LENASIA, JOHANNESBURG	2938 LENASIA 1820	0118545822	YES	ACD	4	N	NOT APPLICABLE		YES	1,672.00	GT	NOT MOVED	700110890	99	1117	36
700110874	2024	GT	7	LAVELA SECONDARY SCHOOL	OPEN	PUBLIC	ORDINARY SCHOOL	SECONDARY SCHOOL	ORDINARY	JOHANNESBURG CENTRAL	6	PUBLIC	PUBLIC	DEPARTMENT OF EDUCACTION & TRAINING(DET)	914031	914031	8110874	LAVELA SECONDARY SCHOOL	27.84442606	-26.23941109	CITY OF JOHANNESBURG METROPOLITAN MUNICIPALITY	CITY OF JOHANNESBURG METROPOLITAN MUNICIPALITY	79800051	798026049	ZOLA	NEO TIEHO SITHOLE	ZOLA NORTH	SOWETO	JOHANNESBURG	1586, DLAMINI STREET, ZOLA NORTH, SOWETO, JOHANNESBURG	BOX 701 KWA-XUMA 1868	0119305218	YES	ACD	3	N	NOT APPLICABLE	7/5/1996	YES	1,672.00	GT	NOT MOVED	700110874	99	720	28
700111450	2024	GT	7	VUWANI SECONDARY SCHOOL	OPEN	PUBLIC	ORDINARY SCHOOL	SECONDARY SCHOOL	ORDINARY	JOHANNESBURG CENTRAL	3	PUBLIC	PUBLIC	DEPARTMENT OF EDUCACTION & TRAINING(DET)	914221	914221	8111450	VUWANI SECONDARY SCHOOL	27.85573281	-26.28556237	CITY OF JOHANNESBURG METROPOLITAN MUNICIPALITY	CITY OF JOHANNESBURG METROPOLITAN MUNICIPALITY	79800012	798026087	CHIAWELO EXT 2	JOSEPH COLLINS BALOYI	TSHIAWELO	SOWETO	JOHANNESBURG	3346, FUNDUDZI, TSHIAWELO, SOWETO, JOHANNESBURG	PO BOX 44 TSHIAWELO 1818	0119849418	YES	ACD	3	N	NOT APPLICABLE	7/5/1996	YES	1,672.00	GT	NOT MOVED	700111450	99	2557	77
700121574	2024	GT	7	MOLETSANE SECONDARY SCHOOL	OPEN	PUBLIC	ORDINARY SCHOOL	SECONDARY SCHOOL	ORDINARY	JOHANNESBURG CENTRAL	5	PUBLIC	PUBLIC	DEPARTMENT OF EDUCACTION & TRAINING(DET)	914091	914091	8121574	MOLETSANE SECONDARY SCHOOL	27.85108149	-26.25440268	CITY OF JOHANNESBURG METROPOLITAN MUNICIPALITY	CITY OF JOHANNESBURG METROPOLITAN MUNICIPALITY	79800021	798026058	MOLETSANE	BABUI ANDREW SETSHEDI	MOLETSANE	SOWETO	JOHANNESBURG	1644, B LEGWALE STREET, MOLETSANE, SOWETO, JOHANNESBURG	BOX 82 P.O. KWA - XUMA 1868	0119322713	YES	ACD	4	N	NOT APPLICABLE		YES	1,672.00	GT	NOT MOVED	700121574	99	1379	42
700110338	2024	GT	7	TRINITY SECONDARY SCHOOL	OPEN	PUBLIC	ORDINARY SCHOOL	SECONDARY SCHOOL	ORDINARY	JOHANNESBURG CENTRAL	2	PUBLIC	PUBLIC	HOUSE OF DELEGATES(HOD)	914218	914218	8110338	TRINITY SECONDARY SCHOOL	27.841581	-26.314049	CITY OF JOHANNESBURG METROPOLITAN MUNICIPALITY	CITY OF JOHANNESBURG METROPOLITAN MUNICIPALITY	79800010	798028003	LENASIA EXT 5	YINGWANI CALVIN BALOYI	EXT 5	LENASIA	JOHANNESBURG	5466, GIRAFFE AVE, EXT 5, LENASIA, JOHANNESBURG	77 LENASIA 1820	0118522519	YES	ACD	5	N	NOT APPLICABLE		NO	838.00	GT	NOT MOVED	700110338	99	1435	48
700110510	2024	GT	7	KWADEDANGENDLALE SECONDARY SCHOOL	OPEN	PUBLIC	ORDINARY SCHOOL	SECONDARY SCHOOL	ORDINARY	JOHANNESBURG CENTRAL	6	PUBLIC	PUBLIC	DEPARTMENT OF EDUCACTION & TRAINING(DET)	914003	914003	8110510	KWADEDANGENDLALE SECONDARY SCHOOL	27.844244	-26.234613	CITY OF JOHANNESBURG METROPOLITAN MUNICIPALITY	CITY OF JOHANNESBURG METROPOLITAN MUNICIPALITY	79800051	798026049	ZOLA	NOKULUNGA MOLELEKI	ZOLA NORTH	SOWETO	JOHANNESBURG	1240, BHEDLA STREET, ZOLA NORTH, SOWETO, JOHANNESBURG	P.O BOX KWA-XUMA 1868	0119302046	YES	ACD	3	N	NOT APPLICABLE		YES	1,672.00	GT	NOT MOVED	700110510	99	1193	46
700121525	2024	GT	7	MAFORI MPHAHLELE COMPREHENSIVE SCHOOL	OPEN	PUBLIC	ORDINARY SCHOOL	SECONDARY SCHOOL	ORDINARY & TECHNICAL	JOHANNESBURG CENTRAL	5	PUBLIC	PUBLIC	DEPARTMENT OF EDUCACTION & TRAINING(DET)	914087	914087	8121525	MAFORI MPHAHLELE COMPREHENSIVE SCHOOL	27.863185	-26.255659	CITY OF JOHANNESBURG METROPOLITAN MUNICIPALITY	CITY OF JOHANNESBURG METROPOLITAN MUNICIPALITY	79800034	798026059	MOLAPO	THOMAS RASETSOKE	MOLAPO	SOWETO	JOHANNESBURG	751, MASIANE STREET, MOLAPO, SOWETO, JOHANNESBURG	P.O. BOX 180 KWA-XUMA 1868	0825535154	YES	ACD	4	N	NOT APPLICABLE		YES	1,672.00	GT	NOT MOVED	700121525	99	737	31
